,rate,source,c,MFPT
0,5.000345349769784,simulation,1,1212.063
1,10.0,simulation,1,906.853
2,19.998618696327437,simulation,1,682.988
3,50.003453497697855,simulation,1,507.146
4,100.0,simulation,1,410.786
5,199.9861869632745,simulation,1,412.095
6,500.0345349769783,simulation,1,435.441
7,1000.0,simulation,1,567.563
8,1999.8618696327449,simulation,1,811.829
9,5000.345349769783,simulation,1,
10,10000.0,simulation,1,
11,19998.61869632745,simulation,1,
12,50003.45349769783,simulation,1,
13,100000.0,simulation,1,
14,5.000345349769784,prediction,1,1500.3544400729525
15,10.0,prediction,1,1113.7318280940256
16,19.998618696327437,prediction,1,834.7542438306662
17,50.003453497697855,prediction,1,586.4116850679961
18,100.0,prediction,1,466.27519586020645
19,199.9861869632745,prediction,1,400.9107059616943
20,500.0345349769783,prediction,1,414.39257005621823
21,1000.0,prediction,1,570.5971755948875
22,1999.8618696327449,prediction,1,1213.756241709655
23,5000.345349769783,prediction,1,
24,10000.0,prediction,1,
25,19998.61869632745,prediction,1,
26,50003.45349769783,prediction,1,
27,100000.0,prediction,1,
28,5.000345349769784,simulation,2,1324.685
29,10.0,simulation,2,958.963
30,19.998618696327437,simulation,2,690.654
31,50.003453497697855,simulation,2,488.71
32,100.0,simulation,2,382.263
33,199.9861869632745,simulation,2,326.085
34,500.0345349769783,simulation,2,276.104
35,1000.0,simulation,2,265.573
36,1999.8618696327449,simulation,2,323.232
37,5000.345349769783,simulation,2,456.962
38,10000.0,simulation,2,
39,19998.61869632745,simulation,2,
40,50003.45349769783,simulation,2,
41,100000.0,simulation,2,
42,5.000345349769784,prediction,2,1545.4532137224717
43,10.0,prediction,2,1140.9134988767087
44,19.998618696327437,prediction,2,846.673631794568
45,50.003453497697855,prediction,2,578.4849151212208
46,100.0,prediction,2,439.3329452984229
47,199.9861869632745,prediction,2,346.31508384636203
48,500.0345349769783,prediction,2,287.2025379851371
49,1000.0,prediction,2,289.7313709985687
50,1999.8618696327449,prediction,2,343.13357116975254
51,5000.345349769783,prediction,2,605.2117931858536
52,10000.0,prediction,2,1298.4284209279463
53,19998.61869632745,prediction,2,
54,50003.45349769783,prediction,2,
55,100000.0,prediction,2,
56,5.000345349769784,simulation,3,1675.753
57,10.0,simulation,3,1146.849
58,19.998618696327437,simulation,3,881.966
59,50.003453497697855,simulation,3,567.724
60,100.0,simulation,3,417.662
61,199.9861869632745,simulation,3,308.691
62,500.0345349769783,simulation,3,233.775
63,1000.0,simulation,3,195.469
64,1999.8618696327449,simulation,3,170.404
65,5000.345349769783,simulation,3,156.683
66,10000.0,simulation,3,146.344
67,19998.61869632745,simulation,3,140.595
