Rate,SR,c > 1,c > 2,c > 3,c > 4,c > 5
5,1290.019313,1212.062508,1324.68518,1675.752626,2062.79593,2683.537178
10,958.868775,906.852789,958.962691,1146.849262,1452.359979,1969.526506
20,760.213531,682.987714,690.653502,881.966353,1065.123138,1355.657895
50,577.320919,507.146254,488.70989,567.723517,678.547003,920.265607
100,518.116565,410.786441,382.263416,417.661884,525.965363,692.962098
200,566.887139,412.095336,326.084852,308.69079,395.376904,517.921064
500,892.4505337,435.441493,276.103872,233.774857,308.881828,433.131333
1000,N/A,567.5631105,265.573122,195.468724,279.140026,383.806885
2000,N/A,811.8290442,323.23184,170.404256,251.929451,354.508054
5000,N/A,N/A,456.9616025,156.683379,239.729305,336.751068
10000,N/A,N/A,N/A,146.343862,228.790527,321.556142
20000,N/A,N/A,N/A,140.595355,228.573991,329.676876
50000,N/A,N/A,N/A,135.325076,224.119415,324.206511
100000,N/A,N/A,N/A,138.191304,223.888282,324.758825
