,Bias deposition rate (1/ps),Method,Speedup,DDT
0,5.0,MetaD,56.7597832426193,63.4394
1,5.0,MetaD + SR,298.35678075406395,40.6556
2,5.0,MetaD + ISR,953.3922724055246,43.0556
3,2.5,MetaD,61.65193918182725,74.2247
4,2.5,MetaD + SR,210.35595892605951,51.1241
5,2.5,MetaD + ISR,676.0481509541114,55.6738
6,1.0,MetaD,51.52429599975424,91.1027
7,1.0,MetaD + SR,139.36713991582837,76.1636
8,1.0,MetaD + ISR,317.903749235598,76.2302
9,0.5,MetaD,47.02144266815412,106.53758865248221
10,0.5,MetaD + SR,89.07651104470091,100.1497
11,0.5,MetaD + ISR,187.9169149912699,97.6999
